                  沪深300 (000300)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	   MA.MA5   	   MA.MA6   	   MA.MA7   	   MA.MA8   	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2018/03/27-10:30	 3927.49	 3936.63	 3904.71	 3905.37	        6348274	           	           	           	           	           	           	           	           	           	       0.00	 6348274.00	           	           	       0.00	       0.00	       0.00	
 2018/03/27-11:30	 3905.24	 3921.42	 3904.97	 3912.76	        3073962	           	           	           	           	           	           	           	           	           	       0.00	 3073962.00	           	           	       0.59	       0.12	       0.94	
 2018/03/27-14:00	 3913.93	 3923.31	 3896.88	 3897.47	        3033970	           	           	           	           	           	           	           	           	           	       0.00	 3033970.00	           	           	      -0.18	       0.06	      -0.47	
 2018/03/27-15:00	 3897.58	 3913.42	 3882.00	 3913.27	        3772947	           	           	           	           	           	           	           	           	           	       0.00	 3772947.00	           	           	       0.49	       0.15	       0.69	
 2018/03/28-10:30	 3865.05	 3906.87	 3858.81	 3879.21	        5991497	    3901.62	           	           	           	           	           	           	           	           	       0.00	 5991497.00	 4444130.00	           	      -1.71	      -0.23	      -2.98	
 2018/03/28-11:30	 3878.76	 3886.08	 3849.76	 3850.44	        3183516	    3890.63	           	           	           	           	           	           	           	           	       0.00	 3183516.00	 3811178.50	           	      -5.72	      -1.32	      -8.78	
 2018/03/28-14:00	 3850.32	 3854.88	 3837.25	 3854.88	        3016653	    3879.05	           	           	           	           	           	           	           	           	       0.00	 3016653.00	 3799716.50	           	      -8.43	      -2.75	     -11.37	
 2018/03/28-15:00	 3854.66	 3856.51	 3835.88	 3842.72	        3393227	    3868.10	           	           	           	           	           	           	           	           	       0.00	 3393227.00	 3871568.00	           	     -11.43	      -4.48	     -13.90	
 2018/03/29-10:30	 3854.59	 3864.63	 3794.29	 3798.55	        5221033	    3845.16	           	           	           	           	           	           	           	           	       0.00	 5221033.00	 4161185.25	           	     -17.18	      -7.02	     -20.31	
 2018/03/29-11:30	 3799.19	 3855.84	 3799.19	 3843.32	        3848257	    3837.98	    3869.80	           	           	           	           	           	           	           	       0.00	 3848257.00	 3732537.25	 4088333.50	     -17.91	      -9.20	     -17.42	
 2018/03/29-14:00	 3843.49	 3883.20	 3843.49	 3870.16	        2987297	    3841.93	    3866.28	           	           	           	           	           	           	           	       0.00	 2987297.00	 3693293.50	 3752236.00	     -16.14	     -10.59	     -11.11	
 2018/03/29-15:00	 3869.81	 3913.85	 3869.28	 3894.05	        4443089	    3849.76	    3864.41	           	           	           	           	           	           	           	       0.00	 4443089.00	 3978580.50	 3889148.50	     -12.67	     -11.00	      -3.32	
 2018/03/30-10:30	 3893.75	 3902.98	 3879.25	 3892.72	        5112716	    3859.76	    3863.93	           	           	           	           	           	           	           	       0.00	 5112716.00	 4322478.50	 4097023.25	      -9.90	     -10.78	       1.76	
 2018/03/30-11:30	 3892.62	 3902.24	 3888.25	 3894.15	        2538648	    3878.88	    3862.02	           	           	           	           	           	           	           	       0.00	 2538648.00	 3786001.50	 3973593.25	      -7.51	     -10.13	       5.23	
 2018/03/30-14:00	 3894.70	 3915.35	 3894.70	 3900.19	        2718660	    3890.25	    3864.12	           	           	           	           	           	           	           	       0.00	 2718660.00	 3560082.00	 3646309.50	      -5.07	      -9.12	       8.09	
 2018/03/30-15:00	 3899.97	 3902.55	 3893.55	 3898.50	        3425901	    3895.92	    3868.92	           	           	           	           	           	           	           	       0.00	 3425901.00	 3647802.75	 3670548.00	      -3.24	      -7.94	       9.41	
 2018/04/02-10:30	 3897.01	 3936.87	 3882.89	 3924.93	        6607388	    3902.10	    3875.93	           	           	           	           	           	           	           	       0.00	 6607388.00	 4080662.50	 4029621.50	       0.35	      -6.28	      13.26	
 2018/04/02-11:30	 3924.29	 3924.29	 3900.59	 3903.19	        3150121	    3904.19	    3881.98	           	           	           	           	           	           	           	       0.00	 3150121.00	 3688143.50	 4005311.00	       1.42	      -4.74	      12.32	
 2018/04/02-14:00	 3903.69	 3910.29	 3896.03	 3900.46	        2832233	    3905.45	    3892.17	           	           	           	           	           	           	           	       0.00	 2832233.00	 3746860.50	 3766431.00	       2.02	      -3.39	      10.82	
 2018/04/02-15:00	 3900.90	 3900.90	 3884.00	 3886.92	        3345864	    3902.80	    3896.53	    3883.16	           	           	           	           	           	           	       0.00	 3345864.00	 3872301.50	 3716191.75	       1.39	      -2.43	       7.65	
 2018/04/03-10:30	 3850.15	 3869.38	 3843.10	 3850.20	        5316235	    3893.14	    3894.53	    3880.40	           	           	           	           	           	           	       0.00	 5316235.00	 4250368.00	 3949085.50	      -2.05	      -2.36	       0.62	
 2018/04/03-11:30	 3849.57	 3878.15	 3844.01	 3859.49	        2625807	    3880.05	    3891.07	    3877.74	           	           	           	           	           	           	       0.00	 2625807.00	 3454052.00	 3767357.25	      -3.98	      -2.68	      -2.59	
 2018/04/03-14:00	 3860.26	 3861.63	 3842.64	 3843.60	        2200623	    3868.13	    3886.16	    3875.05	           	           	           	           	           	           	       0.00	 2200623.00	 3264152.50	 3476148.00	      -6.71	      -3.49	      -6.45	
 2018/04/03-15:00	 3843.06	 3867.95	 3840.27	 3862.48	        3062325	    3860.54	    3883.00	    3872.51	           	           	           	           	           	           	       0.00	 3062325.00	 3310170.75	 3528515.75	      -7.27	      -4.25	      -6.06	
 2018/04/04-10:30	 3873.63	 3894.56	 3864.56	 3882.60	        5209778	    3859.67	    3881.24	    3872.68	           	           	           	           	           	           	       0.00	 5209778.00	 3682953.50	 3777627.50	      -6.02	      -4.60	      -2.84	
 2018/04/04-11:30	 3882.44	 3898.36	 3882.44	 3897.34	        2422237	    3869.10	    3881.12	    3875.02	           	           	           	           	           	           	       0.00	 2422237.00	 3104154.00	 3677261.00	      -3.80	      -4.44	       1.28	
